,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.67775995191774,11.999999999999886,220.6725909359276,3.981144927422115,1073.551822057859,REFPROP::R152a,43.90783
32,7.67775995191774,13.117686360376695,223.35041323697942,28.985533667044503,1073.5518220578545,REFPROP::R152a,46.58566
33,7.67775995191774,37.9313623472205,267.4955900753806,28.985533667044503,1221.3768460265053,REFPROP::R152a,48.87418
34,7.67775995191774,139.99999999999977,635.2858945678926,28.405822993703612,2242.797032285519,REFPROP::R152a,127.44936
35,7.67775995191774,53.0333280921609,562.5075421781788,4.062392783083791,2259.057903841824,REFPROP::R152a,50.06674
36,7.67775995191774,14.11768646150216,517.223229947487,4.062392783083791,2111.232879873161,REFPROP::R152a,46.63908
41,10,139.99999999999898,589.251391402537,5.0,1739.0745003453012,REFPROP::water,97.49103
42,10,69.99999999999329,293.44857047710616,5.0,954.8526003311621,REFPROP::water,23.74064
38,7.67775995191774,90.01968286302133,376.91602580620173,28.79099402245167,1545.241499660777,REFPROP::R152a,66.59234
39,7.67775995191774,89.68515584889167,542.1573564516106,28.597760052398176,2000.7380166097125,REFPROP::R152a,102.85983
48,10,123.23309848291808,517.7495353695535,5.0,1562.4044593574827,REFPROP::water,76.01329
49,10,90.0206764039682,377.4589544146549,5.0,1192.7940009894207,REFPROP::water,40.37791
