,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.546927633735453,9.999999998072724,217.18898273896232,3.7276418864774414,1061.3876016969552,REFPROP::R152a,43.86852
32,7.546927633735453,11.161702858615968,220.02309733803077,30.32779275836719,1061.3876017402813,REFPROP::R152a,46.70264
33,7.546927633735453,33.52656916663494,259.4636705371933,30.176153794575356,1194.9356979043132,REFPROP::R152a,48.32907
34,7.546927633735453,140.0000000000001,633.3321693685042,29.572630718683843,2234.0630594922113,REFPROP::R152a,127.96865
35,7.546927633735453,47.51031247865933,556.861904463674,3.7463737552537104,2251.1488152792454,REFPROP::R152a,46.66056
36,7.546927633735453,13.161702947320236,517.4213312645115,3.7276418864774414,2121.646124841068,REFPROP::R152a,43.88867
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,7.546927633735453,92.0296012419401,381.98007466201545,29.97362317009871,1558.6644405589436,REFPROP::R152a,67.85568
39,7.546927633735453,91.69215274408714,541.4828355796602,29.772451852514852,1995.9308876587036,REFPROP::R152a,103.54644
48,10,123.74709454093153,519.9333638714166,5.0,1567.91027880255,REFPROP::water,76.63815
49,10,92.0304906566426,385.9108140646564,5.0,1216.002254659858,REFPROP::water,42.25836
