,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.415932403157562,9.99999999801895,217.1889827388714,3.7276418864730174,1061.3876016966526,REFPROP::R152a,43.86852
32,7.415932403157562,11.211328279684778,220.14629998130488,31.487302778941164,1061.3876017404748,REFPROP::R152a,46.82584
33,7.415932403157562,29.076541999420613,251.46118711444552,31.329866265046455,1168.226191384873,REFPROP::R152a,47.88938
34,7.415932403157562,139.9999999999999,631.4043608232349,30.703268939745527,2225.7087267973106,REFPROP::R152a,128.40638
35,7.415932403157562,40.53574519219359,548.793241357468,3.7463737552492637,2225.7087267976144,REFPROP::R152a,45.79526
36,7.415932403157562,13.211328367984038,517.4783542243273,3.7276418864730174,2121.8452714970012,REFPROP::R152a,43.88931
41,10,140.00000000000068,589.25139140254,5.0,1739.0745003453446,REFPROP::water,97.49103
42,10,69.99999999999426,293.4485704770803,5.0,954.8526003313222,REFPROP::water,23.74064
38,7.415932403157562,93.9184726627737,386.8578981628845,31.119592370546012,1571.5147055101036,REFPROP::R152a,69.09495
39,7.415932403157562,93.57836287229094,540.6784900090645,30.910729752759433,1991.0424553014427,REFPROP::R152a,104.12626
48,10,124.22627650905258,521.9696988849906,5.0,1573.0378212684705,REFPROP::water,77.22262
49,10,93.91940374364071,393.85785615162183,5.0,1237.7081182995998,REFPROP::water,44.05938
