,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.551844243907573,11.999999999999147,220.67259093580518,3.981144923068844,1073.5518220590614,REFPROP::R152a,43.90783
32,7.551844243907573,13.174562790731784,223.48904048873487,30.283449298845326,1073.55182205906,REFPROP::R152a,46.72428
33,7.551844243907573,33.692875487202855,259.7648474888376,30.1320320523511,1195.9337243193593,REFPROP::R152a,48.34765
34,7.551844243907573,139.99999999999966,633.4052064639361,29.529391411304076,2234.3845645186625,REFPROP::R152a,127.95066
35,7.551844243907573,46.436224912910745,554.7312247438716,4.082806812705203,2234.384564518664,REFPROP::R152a,49.27668
36,7.551844243907573,15.174562882914984,518.455417743769,4.062392778641677,2115.5143466406644,REFPROP::R152a,46.65897
41,10,140.00000000000085,589.2513914025425,5.0,1739.0745003453267,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,7.551844243907573,91.95623959784234,381.7930525691052,29.92979755587229,1558.1702219442798,REFPROP::R152a,67.80859
39,7.551844243907573,91.61889620679955,541.5105870687906,29.728920378790164,1996.1131079931774,REFPROP::R152a,103.5226
48,10,123.72841846309706,519.8540061500119,5.0,1567.7103287659713,REFPROP::water,76.61541
49,10,91.9571604268233,385.60237029006487,5.0,1215.157536075146,REFPROP::water,42.1891
