,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.5580554555199395,12.0,220.67259093610684,3.9811449338560574,1073.551822056061,REFPROP::R152a,43.90783
32,7.5580554555199395,13.306432043024415,223.71028462541304,30.076599309787277,1074.4014965755466,REFPROP::R152a,46.70494
33,7.5580554555199395,33.90244030051451,260.144591965868,30.076599309787277,1197.1912722692296,REFPROP::R152a,48.37132
34,7.5580554555199395,140.0,633.4968967131998,29.47506732359153,2234.788713342774,REFPROP::R152a,127.92791
35,7.5580554555199395,46.33991623194754,554.6727701527113,4.062392789649039,2234.788713342774,REFPROP::R152a,49.10379
36,7.5580554555199395,14.306432142513927,517.4433659317982,4.062392789649039,2111.9989376490907,REFPROP::R152a,46.64231
41,10,139.99999999999994,589.2513914025383,5.0,1739.074500345319,REFPROP::water,97.49103
42,10,69.99999999999528,293.44857047709826,5.0,954.8526003312818,REFPROP::water,23.74064
38,7.5580554555199395,91.86395103995244,381.5580249278635,29.87473685634763,1557.5489834514626,REFPROP::R152a,67.74947
39,7.5580554555199395,91.5267400425609,541.5451464403623,29.67422922529628,1996.3415753991592,REFPROP::R152a,103.49247
48,10,123.704823608634,519.7537486231156,5.0,1567.457706044224,REFPROP::water,76.58668
49,10,91.8647115060221,385.2135164142797,5.0,1214.0923608146422,REFPROP::water,42.10185
