,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.932919242181348,9.999999998147416,217.18898273909375,3.727641886453446,1061.3876016974345,REFPROP::R152a,43.86852
32,7.932919242181348,11.047987375896469,219.65639413779155,25.034314522551266,1062.0777623724246,REFPROP::R152a,46.14052
33,7.932919242181348,37.55083045324483,266.7754939713195,25.034314522551266,1220.5143532937627,REFPROP::R152a,48.3983
34,7.932919242181348,138.00000000000023,639.6556556053692,23.782598796423702,2271.5622477860697,REFPROP::R152a,123.67425
35,7.932919242181348,52.982953665588354,563.2717564065541,3.727641886453446,2271.5622477862844,REFPROP::R152a,47.29035
36,7.932919242181348,11.047987482448093,514.990839716298,3.727641886453446,2113.1256568649687,REFPROP::R152a,43.87075
41,10,140.00000000000034,589.2513914025415,5.0,1739.0745003453264,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,7.932919242181348,82.35525233423658,358.54927411091575,24.609922120384194,1495.8032043598826,REFPROP::R152a,62.22404
39,7.932919242181348,81.53676225393014,543.409168255186,24.19272419964999,2017.1652407613974,REFPROP::R152a,99.46027
48,10,122.0912593213385,512.8998302532782,5.0,1550.1519108210305,REFPROP::water,74.6329
49,10,87.35431893982991,366.25196911680933,5.0,1161.8214453655426,REFPROP::water,37.94081
