,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.578795422410616,9.999999997978875,217.18898273879756,3.72764188643463,1061.3876016964066,REFPROP::R152a,43.86852
32,7.578795422410616,11.283025152929383,220.21742005926828,29.88969356100151,1062.2346871568532,REFPROP::R152a,46.65711
33,7.578795422410616,34.60295572655099,261.4157914841395,29.88969356100151,1201.3952877550942,REFPROP::R152a,48.45216
34,7.578795422410616,140.0,633.8054773612914,29.29189968978148,2236.1532622150185,REFPROP::R152a,127.85012
35,7.578795422410616,47.88271622038127,557.3422512037804,3.72764188643463,2253.2374453343286,REFPROP::R152a,46.54951
36,7.578795422410616,11.28302525739673,515.261277161142,3.72764188643463,2114.076844736078,REFPROP::R152a,43.87186
41,10,140.00000000000006,589.2513914025385,5.0,1739.0745003453276,REFPROP::water,97.49103
42,10,69.99999999999744,293.44857047710724,5.0,954.852600331335,REFPROP::water,23.74064
38,7.578795422410616,91.55178654589582,380.7650501429511,29.689085546357397,1555.451611690532,REFPROP::R152a,67.55037
39,7.578795422410616,91.21502478572381,541.6591704081238,29.48982393479558,1997.1081298235208,REFPROP::R152a,103.38944
48,10,123.62523891947058,519.4155904696676,5.0,1566.6055252352194,REFPROP::water,76.48982
49,10,91.55263359401823,383.9009319962882,5.0,1210.4948459691095,REFPROP::water,41.8079
