,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.4179525681116525,9.999999997904467,217.188982738671,3.7276418864921546,1061.3876016959332,REFPROP::R152a,43.86852
32,7.4179525681116525,11.359220916486777,220.39989270863248,31.469745370640346,1062.2857266547794,REFPROP::R152a,46.82513
33,7.4179525681116525,29.145455432108065,251.58431259585004,31.312396643787146,1168.6399731389758,REFPROP::R152a,47.89534
34,7.4179525681116525,140.0,631.4338151826624,30.686148710911404,2225.8345194953713,REFPROP::R152a,128.40021
35,7.4179525681116525,40.569942288586105,548.8327028847945,3.7463737552684973,2225.834519495622,REFPROP::R152a,45.7991
36,7.4179525681116525,13.359221003624953,517.648282997577,3.7276418864921546,2122.438525160754,REFPROP::R152a,43.89125
41,10,139.9999999999996,589.2513914025384,5.0,1739.0745003453255,REFPROP::water,97.49103
42,10,69.99999999998812,293.44857047707103,5.0,954.8526003311184,REFPROP::water,23.74064
38,7.4179525681116525,93.89028542151596,386.7841796419478,31.102239998599753,1571.3210603254215,REFPROP::R152a,69.07606
39,7.4179525681116525,93.55021466668774,540.6918281257059,30.893493843194378,1991.118348920865,REFPROP::R152a,104.11811
48,10,124.21915112637947,521.939415810068,5.0,1572.961613029057,REFPROP::water,77.21392
49,10,93.89120468661287,393.73919057339816,5.0,1237.3848275668647,REFPROP::water,44.03226
