,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,8.202354367812164,12.000000000000114,220.67259093651725,3.981144948552569,1073.5518220519575,REFPROP::R152a,43.90783
32,8.202354367812164,12.952790894763382,222.87946681405612,22.92773919502301,1074.1690182689579,REFPROP::R152a,45.93995
33,8.202354367812164,45.8636871213709,282.31860664209614,22.813100499047895,1270.6978749909447,REFPROP::R152a,49.73194
34,8.202354367812164,138.00000000000017,642.9502102780618,21.6724454740955,2289.363210630651,REFPROP::R152a,121.92846
35,8.202354367812164,65.88461814900296,577.6360893338453,4.0828068388396765,2303.952842513302,REFPROP::R152a,52.48328
36,8.202354367812164,14.952790988780976,518.1969495058053,4.062392804645478,2114.617552074064,REFPROP::R152a,46.65443
41,10,140.00000000000085,589.2513914025425,5.0,1739.0745003453267,REFPROP::water,97.49103
42,10,70.00000000000034,293.4485704770856,5.0,954.8526003313833,REFPROP::water,23.74064
38,8.202354367812164,77.94720013287235,348.516109176602,22.426363066594995,1468.2587011221076,REFPROP::R152a,59.9901
39,8.202354367812164,77.14665703937544,543.3288803934868,22.04618177243055,2024.54849072179,REFPROP::R152a,97.28942
48,10,120.82833150761974,507.53844637194237,5.0,1536.5653557160672,REFPROP::water,73.11855
49,10,82.94816966520926,347.74610788230166,5.0,1110.1719523077084,REFPROP::water,34.0595
