,e_PH,e_T,e_M,E_PH,E_T,E_M
31,71.66338,70.77462,0.88876,449.55247,443.97719,5.57529
32,7.96509,7.07633,0.88876,49.96592,44.39063,5.57529
33,1.57489,0.68613,0.88876,9.87948,4.30419,5.57529
34,-0.04416,5e-05,-0.04421,-0.277,0.00034,-0.27735
35,-0.04421,-0.0,-0.04421,-0.27735,-0.0,-0.27735
36,4.96673,5.01094,-0.04421,31.15684,31.43418,-0.27735
30,71.66338,70.77462,0.88876,449.55247,443.97719,5.57529
21,135.2621,5.65268,129.60941,2705.24191,113.05369,2592.18823
22,152.97323,23.36382,129.60941,3059.46469,467.27646,2592.18823
11,-0.0,-0.0,0.0,-0.01086,-0.01086,0.0
12,-0.0,-0.0,0.0,-0.01069,-0.01069,0.0
