,e_PH,e_T,e_M,E_PH,E_T,E_M
31,70.70015,69.76088,0.93926,466.20446,460.01086,6.1936
32,9.15758,8.26882,0.88876,60.38606,54.52548,5.86058
33,1.69561,0.80685,0.88876,11.18104,5.32046,5.86058
34,-0.04416,5e-05,-0.04421,-0.29118,0.00035,-0.29154
35,-0.04421,-0.0,-0.04421,-0.29154,-0.0,-0.29154
36,5.81326,5.85747,-0.04421,38.33329,38.62483,-0.29154
30,70.70015,69.76088,0.93926,466.20446,460.01086,6.1936
21,135.2621,5.65268,129.60941,2705.24191,113.05369,2592.18823
22,152.97323,23.36382,129.60941,3059.46469,467.27646,2592.18823
11,-0.0,-0.0,0.0,-0.01127,-0.01127,0.0
12,-0.0,-0.0,0.0,-0.0111,-0.0111,0.0
