,e_PH,e_T,e_M,E_PH,E_T,E_M
31,66.54753,65.62323,0.9243,449.79125,443.54395,6.2473
32,7.99941,7.07511,0.9243,54.06762,47.82033,6.2473
33,1.91854,0.99424,0.9243,12.96731,6.72001,6.2473
34,-0.04416,5e-05,-0.04421,-0.29847,0.00036,-0.29883
35,-0.04421,-0.0,-0.04421,-0.29883,-0.0,-0.29883
36,4.18311,4.22732,-0.04421,28.27343,28.57226,-0.29883
30,66.54753,65.62323,0.9243,449.79125,443.54395,6.2473
21,135.2621,5.65268,129.60941,2705.24191,113.05369,2592.18823
22,152.97323,23.36382,129.60941,3059.46469,467.27646,2592.18823
11,-0.0,-0.0,0.0,-0.01135,-0.01135,0.0
12,-0.0,-0.0,0.0,-0.01117,-0.01117,0.0
