,e_PH,e_T,e_M,E_PH,E_T,E_M
31,75.22099,74.35655,0.86444,963.54465,952.47159,11.07307
32,9.08957,8.27191,0.81767,116.43306,105.95912,10.47393
33,1.4621,0.65776,0.80434,18.72876,8.42559,10.30317
34,-0.83156,4.37144,-5.203,-10.65184,55.99605,-66.64789
35,-5.8062,0.11961,-5.92581,-74.37463,1.53209,-75.90671
36,-1.14861,4.9903,-6.13891,-14.71314,63.92337,-78.63651
30,75.22099,74.35655,0.86444,963.54465,952.47159,11.07307
21,23.74064,23.34186,0.39878,237.40638,233.41858,3.98781
22,97.49103,97.09225,0.39878,974.91028,970.92248,3.98781
11,-0.0,-0.0,0.0,-0.0,-0.0,0.0
12,0.0161,0.0161,0.0,10.00187,10.00187,0.0
