,e_PH,e_T,e_M,E_PH,E_T,E_M
31,67.87249,66.98373,0.88876,447.69947,441.83705,5.86242
32,7.96509,7.07633,0.88876,52.53922,46.6768,5.86242
33,1.57489,0.68613,0.88876,10.38828,4.52586,5.86242
34,-0.04416,5e-05,-0.04421,-0.29127,0.00036,-0.29163
35,-0.04421,-0.0,-0.04421,-0.29163,-0.0,-0.29163
36,4.96673,5.01094,-0.04421,32.76145,33.05308,-0.29163
30,67.87249,66.98373,0.88876,447.69947,441.83705,5.86242
21,135.2621,5.65268,129.60941,2705.24191,113.05369,2592.18823
22,152.97323,23.36382,129.60941,3059.46469,467.27646,2592.18823
11,-0.0,-0.0,0.0,-0.01142,-0.01142,0.0
12,-0.0,-0.0,0.0,-0.01124,-0.01124,0.0
