,e_PH,e_T,e_M,E_PH,E_T,E_M
61,30.84084,0.10173,30.73911,396.24591,1.30701,394.9389
62,34.46399,0.19467,34.26931,442.79645,2.50116,440.29529
63,35.10464,0.8939,34.21074,451.02766,11.48493,439.54273
64,84.33928,50.32096,34.01833,1083.59884,646.52827,437.07058
65,37.61093,6.84393,30.767,483.22863,87.93144,395.29719
66,36.27164,5.51115,30.76049,466.02133,70.80778,395.21355
60,30.84084,0.10173,30.73911,396.24591,1.30701,394.9389
41,-0.0,-0.0,0.0,-0.0,-0.0,0.0
42,0.01587,0.01587,0.0,12.97995,12.97995,0.0
51,97.49103,97.09225,0.39878,974.91028,970.92248,3.98781
52,23.74064,23.34186,0.39878,237.40638,233.41858,3.98781
