,m,m_unit,v,v_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,vol,vol_unit,x,x_unit,s,s_unit,water,air,R1336MZZZ
31,12.76562,kg / s,0.1699,m3 / s,13.68421,bar,525.47973,kJ / kg,171.40376,C,40.74186,C,0.01331,m3 / kg,998.0,-,1881.76189,J / kgK,,,1.0
32,12.76562,kg / s,0.01039,m3 / s,13.0,bar,293.76139,kJ / kg,75.0,C,-53.10642,C,0.00081,m3 / kg,-0.72143,-,1299.47365,J / kgK,,,1.0
33,12.76562,kg / s,0.00938,m3 / s,12.805,bar,233.80377,kJ / kg,27.89134,C,-99.46793,C,0.00073,m3 / kg,-1.27727,-,1114.6583,J / kgK,,,1.0
34,12.76562,kg / s,1.13441,m3 / s,0.27244,bar,233.80377,kJ / kg,2.0,C,0.0,C,0.08886,m3 / kg,0.17614,-,1122.8805,J / kgK,,,1.0
35,12.76562,kg / s,6.71398,m3 / s,0.25882,bar,380.15046,kJ / kg,0.9276,C,0.0,C,0.52594,m3 / kg,1.0,-,1657.30109,J / kgK,,,1.0
36,12.76562,kg / s,8.63736,m3 / s,0.25494,bar,440.10808,kJ / kg,70.0,C,69.38644,C,0.67661,m3 / kg,1.33589,-,1852.60405,J / kgK,,,1.0
30,12.76562,kg / s,0.1699,m3 / s,13.68421,bar,525.47973,kJ / kg,171.40376,C,40.74186,C,0.01331,m3 / kg,998.0,-,1881.76189,J / kgK,,,1.0
21,10.0,kg / s,0.01023,m3 / s,5.0,bar,293.44857,kJ / kg,70.0,C,-81.83108,C,0.00102,m3 / kg,-0.16444,-,954.8526,J / kgK,1.0,,
22,10.0,kg / s,0.0108,m3 / s,5.0,bar,589.25139,kJ / kg,140.0,C,-11.83108,C,0.00108,m3 / kg,-0.02411,-,1739.0745,J / kgK,1.0,,
11,619.12268,kg / s,496.51063,m3 / s,1.013,bar,409.34249,kJ / kg,10.0,C,204.24921,C,0.80196,m3 / kg,998.0,-,3828.60139,J / kgK,,1.0,
12,619.12268,kg / s,491.23315,m3 / s,1.013,bar,406.32499,kJ / kg,7.0,C,201.24921,C,0.79343,m3 / kg,998.0,-,3817.88761,J / kgK,,1.0,
