k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,55.5364,89.89384,50.31165,5.22474,8.13022,-0.3884,,,-0.21818,17.33187,38.20452,15.70133,1.63055,34.61033,3.5942,,32.4931
comp,cond,,,,,7.80218,-0.06036,51.26028,0.94863,,,,,,,,0.65258,
comp,ihx,,,,,8.31874,-0.57692,51.19366,0.882,,,,,,,,0.60675,
comp,val,,,,,8.13022,-0.3884,50.31165,0.0,,,,,,,,0.0,
comp,eva,,,,,7.89825,-0.15643,53.92394,3.61229,,,,,,,,2.48496,
cond,,63.27714,85.37453,63.27714,0.0,8.17547,-0.43365,,,-0.0,51.91322,11.36392,51.91322,0.0,11.36393,-0.0,,15.1013
cond,comp,,,,,7.80218,-0.06036,63.27714,0.0,,,,,,,,-0.0,
cond,ihx,,,,,8.38835,-0.64653,63.27714,0.0,,,,,,,,-0.0,
cond,val,,,,,8.17547,-0.43365,63.27714,0.0,,,,,,,,-0.0,
cond,eva,,,,,7.93954,-0.19772,63.27714,0.0,,,,,,,,-0.0,
ihx,,21.34661,63.1703,18.01041,3.3362,8.65538,-0.91356,,,-2.17175,16.28391,5.06269,15.45735,0.82657,2.55306,2.50963,,7.68998
ihx,comp,,,,,8.31874,-0.57692,17.31,-0.70041,,,,,,,,-0.52688,
ihx,cond,,,,,8.38835,-0.64653,21.43079,3.42039,,,,,,,,2.57296,
ihx,val,,,,,8.65538,-0.91356,18.01041,0.0,,,,,,,,0.0,
ihx,eva,,,,,8.42706,-0.68524,20.79838,2.78797,,,,,,,,2.09723,
val,,14.07764,59.58852,9.43322,4.64442,8.45339,-0.71157,,,-0.10705,14.07764,0.0,15.37155,-1.29391,-5.93832,5.93833,,-6.07448
val,comp,,,,,8.13022,-0.3884,8.92233,-0.51089,,,,,,,,-0.65322,
val,cond,,,,,8.17547,-0.43365,10.65026,1.21703,,,,,,,,1.55609,
val,ihx,,,,,8.65538,-0.91356,13.1194,3.68618,,,,,,,,4.71313,
val,eva,,,,,8.23575,-0.49393,9.79236,0.35914,,,,,,,,0.4592,
eva,,25.91908,,28.99097,-3.07189,8.23575,-0.49393,,,-0.15016,10.2375,15.68158,10.89065,-0.65315,18.10032,-2.41874,,23.14171
eva,comp,,,,,7.89825,-0.15643,27.80077,-1.1902,,,,,,,,-0.93713,
eva,cond,,,,,7.93954,-0.19772,27.66472,-1.32625,,,,,,,,-1.04426,
eva,ihx,,,,,8.42706,-0.68524,28.75861,-0.23237,,,,,,,,-0.18296,
eva,val,,,,,8.23575,-0.49393,28.81805,-0.17292,,,,,,,,-0.13615,
