,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,8.17547,145.25893,503.26841,8.34524,1851.16796,REFPROP::R1336MZZZ,62.41834
12,8.17547,77.83848,297.49916,7.92798,1311.35257,REFPROP::R1336MZZZ,9.49783
13,8.17547,29.32474,235.40887,7.92798,1121.16706,REFPROP::R1336MZZZ,1.25856
14,8.17547,10.0,234.10616,0.39354,1121.16706,REFPROP::R1336MZZZ,-0.04415
15,8.17547,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,8.17547,77.83848,447.17165,0.39354,1851.16796,REFPROP::R1336MZZZ,6.32159
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,8.17547,106.51605,459.46172,8.20377,1741.98098,REFPROP::R1336MZZZ,49.52795
19,8.17547,105.75953,336.02516,8.06469,1416.89224,REFPROP::R1336MZZZ,18.14027
28,10.0,77.51435,324.9454,5.0,1045.64922,REFPROP::water,29.52841
29,10.0,101.51698,425.86065,5.0,1324.0024,REFPROP::water,51.62795
