,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.93954,148.87836,507.50831,8.22651,1861.88347,REFPROP::R1336MZZZ,63.62415
12,7.93954,76.43464,295.62421,7.81518,1306.02635,REFPROP::R1336MZZZ,9.13099
13,7.93954,24.73946,229.79794,7.81518,1102.50271,REFPROP::R1336MZZZ,0.93244
14,7.93954,5.0,228.46247,0.31368,1102.50271,REFPROP::R1336MZZZ,-0.40303
15,7.93954,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,7.93954,76.43464,446.03805,0.29799,1861.88347,REFPROP::R1336MZZZ,2.15388
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,7.93954,105.88181,459.02895,8.08705,1741.40806,REFPROP::R1336MZZZ,49.2574
19,7.93954,105.12792,335.12581,7.94995,1414.54383,REFPROP::R1336MZZZ,17.90587
28,10.0,77.48231,324.81101,5.0,1045.26595,REFPROP::water,29.50254
29,10.0,100.88221,423.18434,5.0,1316.85318,REFPROP::water,50.97595
