,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,8.38835,141.89336,499.28544,8.47032,1840.96616,REFPROP::R1336MZZZ,61.32401
12,8.38835,78.7638,298.73798,8.04681,1314.84961,REFPROP::R1336MZZZ,9.74646
13,8.38835,34.94879,242.34528,7.92611,1143.8888,REFPROP::R1336MZZZ,1.76131
14,8.38835,10.0,240.53982,0.39354,1143.8888,REFPROP::R1336MZZZ,-0.04415
15,8.38835,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,8.38835,73.7638,443.34759,0.38764,1840.96616,REFPROP::R1336MZZZ,5.38617
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,8.38835,107.1769,459.91111,8.32673,1742.57568,REFPROP::R1336MZZZ,49.80895
19,8.38835,106.41764,336.96377,8.18557,1419.33867,REFPROP::R1336MZZZ,18.38617
28,10.0,77.64985,325.51368,5.0,1047.26949,REFPROP::water,29.63791
29,10.0,102.17754,428.64615,5.0,1331.43046,REFPROP::water,52.3102
