,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,8.42706,135.18567,493.34993,7.52282,1831.68811,REFPROP::R1336MZZZ,58.01558
12,8.42706,70.0,287.095,7.52282,1281.46993,REFPROP::R1336MZZZ,7.55494
13,8.42706,28.24591,234.06966,7.40998,1116.85805,REFPROP::R1336MZZZ,1.13945
14,8.42706,5.0,232.4554,0.31368,1116.85805,REFPROP::R1336MZZZ,-0.47481
15,8.42706,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,8.42706,65.0,435.39433,0.29352,1831.68811,REFPROP::R1336MZZZ,0.05998
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,8.42706,102.71426,456.84709,7.52282,1738.51742,REFPROP::R1336MZZZ,47.89402
19,8.42706,102.71426,331.70205,7.52282,1405.56467,REFPROP::R1336MZZZ,17.02455
28,10.0,78.96713,331.0392,5.0,1062.99118,REFPROP::water,30.71183
29,10.0,102.71513,430.91352,5.0,1337.46719,REFPROP::water,52.86827
