,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.63216,154.56648,514.13024,8.04827,1878.43585,REFPROP::R1336MZZZ,65.55928
12,7.63216,75.0,293.71275,7.64586,1300.58698,REFPROP::R1336MZZZ,8.75969
13,7.63216,27.58034,233.25941,7.5694,1114.1278,REFPROP::R1336MZZZ,1.10227
14,7.63216,5.0,233.25941,0.31368,1119.7486,REFPROP::R1336MZZZ,-0.48926
15,7.63216,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,7.63216,73.0,442.82232,0.29501,1853.14411,REFPROP::R1336MZZZ,1.41271
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,7.63216,104.91657,458.36765,7.91184,1740.53225,REFPROP::R1336MZZZ,48.84409
19,7.63216,104.1667,333.75987,7.77771,1410.96894,REFPROP::R1336MZZZ,17.55216
28,10.0,77.29208,324.01317,5.0,1042.9899,REFPROP::water,29.34916
29,10.0,99.91701,419.1158,5.0,1305.96161,REFPROP::water,49.99135
