,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,10.01826,147.46351,505.01481,8.81669,1852.94977,REFPROP::R1336MZZZ,63.66023
12,10.01826,70.0,287.11081,8.81669,1281.21227,REFPROP::R1336MZZZ,7.6437
13,10.01826,27.15584,232.77901,8.81669,1112.22429,REFPROP::R1336MZZZ,1.16085
14,10.01826,10.0,231.57402,0.39354,1112.22429,REFPROP::R1336MZZZ,-0.04415
15,10.01826,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,10.01826,70.0,439.81478,0.39354,1829.97044,REFPROP::R1336MZZZ,4.96679
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
18,10.01826,109.73895,461.63796,8.81669,1744.85798,REFPROP::R1336MZZZ,50.88956
19,10.01826,109.73895,341.72527,8.81669,1431.67922,REFPROP::R1336MZZZ,19.65344
28,10.0,83.04742,348.16277,5.0,1111.34187,REFPROP::water,34.1449
29,10.0,109.73806,460.56741,5.0,1415.63393,REFPROP::water,60.38924
