,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,9.84631,151.48136,507.59115,10.09235,1853.27019,REFPROP::R1336MZZZ,66.14583
12,9.84631,75.0,293.7295,9.58773,1300.18021,REFPROP::R1336MZZZ,8.89161
13,9.84631,29.82676,236.07176,9.44391,1122.98737,REFPROP::R1336MZZZ,1.40603
14,9.84631,5.0,236.07176,0.31368,1129.85952,REFPROP::R1336MZZZ,-0.53982
15,9.84631,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,9.84631,70.0,440.02672,0.29352,1845.28689,REFPROP::R1336MZZZ,0.84188
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
18,9.84631,115.14189,465.19164,9.92126,1749.5312,REFPROP::R1336MZZZ,53.12002
19,9.84631,114.34965,348.40685,9.75307,1448.80278,REFPROP::R1336MZZZ,21.48649
28,10.0,82.83848,347.28562,5.0,1108.87859,REFPROP::water,33.96522
29,10.0,110.14214,462.27559,5.0,1420.09288,REFPROP::water,60.83487
