,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,9.55798,152.42668,510.06325,9.1883,1863.09857,REFPROP::R1336MZZZ,65.83503
12,9.55798,72.0,289.75012,9.00453,1288.8373,REFPROP::R1336MZZZ,8.12398
13,9.55798,28.86738,234.87667,8.86946,1119.17664,REFPROP::R1336MZZZ,1.28995
14,9.55798,5.0,234.87667,0.31368,1125.56295,REFPROP::R1336MZZZ,-0.51834
15,9.55798,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,9.55798,67.0,437.24244,0.29352,1837.13735,REFPROP::R1336MZZZ,0.36514
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
18,9.55798,111.30449,462.68049,9.12663,1746.23289,REFPROP::R1336MZZZ,51.54279
19,9.55798,110.99832,343.54179,9.06537,1436.35671,REFPROP::R1336MZZZ,20.14553
28,10.0,82.26127,344.86255,5.0,1102.06649,REFPROP::water,33.47101
29,10.0,109.30457,458.73512,5.0,1410.84577,REFPROP::water,59.91272
