,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,9.69603,154.16038,510.90469,9.93776,1861.70469,REFPROP::R1336MZZZ,67.07115
12,9.69603,75.0,293.72819,9.44087,1300.21085,REFPROP::R1336MZZZ,8.88163
13,9.69603,32.15034,238.92669,9.29926,1132.4095,REFPROP::R1336MZZZ,1.59308
14,9.69603,8.0,238.92669,0.35983,1138.91163,REFPROP::R1336MZZZ,-0.248
15,9.69603,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,9.69603,70.0,439.91285,0.34735,1836.50957,REFPROP::R1336MZZZ,3.21331
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
18,9.69603,114.42652,464.72852,9.76929,1748.92463,REFPROP::R1336MZZZ,52.82866
19,9.69603,113.63723,347.36876,9.60368,1446.15693,REFPROP::R1336MZZZ,21.19757
28,10.0,82.40326,345.45861,5.0,1103.74324,REFPROP::water,33.59229
29,10.0,109.42661,459.25094,5.0,1412.19428,REFPROP::water,60.04671
