,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.37292,146.32601,499.6554,11.24784,1829.97044,REFPROP::R1336MZZZ,64.80741
12,12.37292,70.0,287.14155,11.24784,1280.73169,REFPROP::R1336MZZZ,7.81052
13,12.37292,27.12124,232.81316,11.24784,1111.74371,REFPROP::R1336MZZZ,1.33107
14,12.37292,10.0,231.43794,0.39354,1111.74371,REFPROP::R1336MZZZ,-0.04415
15,12.37292,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,12.37292,70.0,439.81478,0.39354,1829.97044,REFPROP::R1336MZZZ,4.96679
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
18,12.37292,121.05788,468.92327,11.24784,1754.37818,REFPROP::R1336MZZZ,55.47923
19,12.37292,121.05788,358.29203,11.24784,1473.7363,REFPROP::R1336MZZZ,24.31174
28,10.0,90.97758,381.48252,5.0,1203.85843,REFPROP::water,41.26859
29,10.0,121.05827,508.51437,5.0,1539.04174,REFPROP::water,73.39329
