,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.12991,149.481,503.86213,10.95758,1841.03133,REFPROP::R1336MZZZ,65.88225
12,12.12991,70.0,287.13781,10.95758,1280.78883,REFPROP::R1336MZZZ,7.7906
13,12.12991,32.09829,238.90735,10.79322,1131.98347,REFPROP::R1336MZZZ,1.69438
14,12.12991,10.0,237.16883,0.39354,1131.98347,REFPROP::R1336MZZZ,-0.04415
15,12.12991,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,12.12991,65.0,435.18535,0.38764,1817.13646,REFPROP::R1336MZZZ,3.9713
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
18,12.12991,119.81066,468.15206,10.95758,1753.38351,REFPROP::R1336MZZZ,54.98966
19,12.12991,119.81066,356.43833,10.95758,1469.09621,REFPROP::R1336MZZZ,23.77188
28,10.0,90.03269,377.50945,5.0,1192.93305,REFPROP::water,40.38904
29,10.0,119.81133,503.22301,5.0,1525.59771,REFPROP::water,71.9086
