Label,Component,ED [kW]
all_real,comp,103.348981
all_real,cond,114.618264
all_real,ihx,35.686666
all_real,val,28.420206
all_real,eva,43.366348
all_real,tot,325.440465
all_ideal,comp,0.0
all_ideal,cond,-0.0
all_ideal,ihx,0.0
all_ideal,val,0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,96.450901
comp,cond,-0.0
comp,ihx,-0.0
comp,val,-0.0
comp,eva,0.0
comp,tot,96.450901
cond,comp,-0.0
cond,cond,114.618264
cond,ihx,-0.0
cond,val,-0.0
cond,eva,0.0
cond,tot,114.618264
ihx,comp,-0.0
ihx,cond,-0.0
ihx,ihx,30.389195
ihx,val,-0.0
ihx,eva,0.0
ihx,tot,30.389195
val,comp,0.0
val,cond,-0.0
val,ihx,0.0
val,val,22.007414
val,eva,0.0
val,tot,22.007414
eva,comp,0.0
eva,cond,-0.0
eva,ihx,-0.0
eva,val,0.0
eva,eva,49.013445
eva,tot,49.013445
comp_cond,comp,96.465134
comp_cond,cond,114.618264
comp_cond,ihx,-0.0
comp_cond,val,0.0
comp_cond,eva,0.0
comp_cond,tot,211.083398
comp_ihx,comp,98.151977
comp_ihx,cond,0.0
comp_ihx,ihx,29.055392
comp_ihx,val,-0.0
comp_ihx,eva,0.0
comp_ihx,tot,127.207368
comp_val,comp,96.450901
comp_val,cond,-0.0
comp_val,ihx,-0.0
comp_val,val,20.233201
comp_val,eva,0.0
comp_val,tot,116.684102
comp_eva,comp,101.891256
comp_eva,cond,-0.0
comp_eva,ihx,0.0
comp_eva,val,0.0
comp_eva,eva,46.767226
comp_eva,tot,148.658483
cond_ihx,comp,-0.0
cond_ihx,cond,114.618264
cond_ihx,ihx,32.728641
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,147.346905
cond_val,comp,-0.0
cond_val,cond,114.618264
cond_val,ihx,-0.0
cond_val,val,22.992385
cond_val,eva,0.0
cond_val,tot,137.610648
cond_eva,comp,0.0
cond_eva,cond,114.618264
cond_eva,ihx,0.0
cond_eva,val,0.0
cond_eva,eva,46.580157
cond_eva,tot,161.19842
ihx_val,comp,0.0
ihx_val,cond,0.0
ihx_val,ihx,30.389195
ihx_val,val,28.568677
ihx_val,eva,0.0
ihx_val,tot,58.957871
ihx_eva,comp,-0.0
ihx_eva,cond,-0.0
ihx_eva,ihx,35.081891
ihx_eva,val,-0.0
ihx_eva,eva,48.620147
ihx_eva,tot,83.702038
val_eva,comp,0.0
val_eva,cond,-0.0
val_eva,ihx,-0.0
val_eva,val,22.172856
val_eva,eva,48.621906
val_eva,tot,70.794761
comp_unavoid,comp,52.809582
comp_unavoid,cond,114.146225
comp_unavoid,ihx,36.586558
comp_unavoid,val,29.546915
comp_unavoid,eva,44.462502
comp_unavoid,tot,277.551782
cond_unavoid,comp,102.414978
cond_unavoid,cond,97.925898
cond_unavoid,ihx,33.524809
cond_unavoid,val,27.028637
cond_unavoid,eva,43.766386
cond_unavoid,tot,304.660708
ihx_unavoid,comp,101.850958
ihx_unavoid,cond,115.102802
ihx_unavoid,ihx,30.055312
ihx_unavoid,val,25.037393
ihx_unavoid,eva,43.419119
ihx_unavoid,tot,315.465585
val_unavoid,comp,103.348981
val_unavoid,cond,114.618264
val_unavoid,ihx,35.686666
val_unavoid,val,28.420206
val_unavoid,eva,43.366348
val_unavoid,tot,325.440465
eva_unavoid,comp,100.833507
eva_unavoid,cond,114.233775
eva_unavoid,ihx,33.009588
eva_unavoid,val,27.943012
eva_unavoid,eva,17.431678
eva_unavoid,tot,293.451559
