,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.95665,168.80279,522.06525,13.88756,1873.45755,REFPROP::R1336MZZZ,74.90388
12,12.95665,75.0,293.76329,13.19318,1299.43395,REFPROP::R1336MZZZ,9.13671
13,12.95665,29.76527,236.10556,12.99528,1122.2343,REFPROP::R1336MZZZ,1.65306
14,12.95665,5.0,236.10556,0.31368,1129.98102,REFPROP::R1336MZZZ,-0.54043
15,12.95665,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,12.95665,70.0,440.02672,0.29352,1845.28689,REFPROP::R1336MZZZ,0.84188
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,12.95665,130.54429,474.4629,13.65213,1761.34498,REFPROP::R1336MZZZ,59.04621
19,12.95665,129.68953,371.34625,13.42069,1505.96561,REFPROP::R1336MZZZ,28.24023
28,10.0,93.94607,393.97008,5.0,1238.01384,REFPROP::water,44.08504
29,10.0,125.54472,527.57471,5.0,1587.11952,REFPROP::water,78.8404
