,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.04599,167.76904,520.65263,13.9988,1869.93501,REFPROP::R1336MZZZ,74.48867
12,13.04599,75.11303,293.91415,13.29886,1299.84249,REFPROP::R1336MZZZ,9.17189
13,13.04599,28.48595,234.54696,13.29886,1117.00414,REFPROP::R1336MZZZ,1.57538
14,13.04599,10.0,232.92743,0.39354,1117.00414,REFPROP::R1336MZZZ,-0.04415
15,13.04599,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,13.04599,75.11303,444.6029,0.39354,1843.82081,REFPROP::R1336MZZZ,5.83318
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.04599,130.94429,474.68192,13.76148,1761.61132,REFPROP::R1336MZZZ,59.18982
19,13.04599,130.08796,371.95927,13.52819,1507.46033,REFPROP::R1336MZZZ,28.43002
28,10.0,94.25405,395.26617,5.0,1241.54302,REFPROP::water,44.38185
29,10.0,125.94525,529.27805,5.0,1591.38967,REFPROP::water,79.33465
