,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,13.2674,164.15384,519.00426,12.25476,1871.62346,REFPROP::R1336MZZZ,72.36222
12,13.2674,70.0,287.15468,12.25476,1280.53399,REFPROP::R1336MZZZ,7.87962
13,13.2674,22.90694,227.71347,12.25476,1094.39317,REFPROP::R1336MZZZ,1.14419
14,13.2674,5.0,226.2068,0.31368,1094.39317,REFPROP::R1336MZZZ,-0.36249
15,13.2674,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,13.2674,70.0,440.01728,0.29799,1844.50065,REFPROP::R1336MZZZ,1.05506
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,13.2674,125.20299,471.41953,12.25476,1757.56304,REFPROP::R1336MZZZ,57.0737
19,13.2674,125.20299,364.50941,12.25476,1489.18267,REFPROP::R1336MZZZ,26.15548
28,10.0,94.44699,396.07817,5.0,1243.75253,REFPROP::water,44.56822
29,10.0,125.20234,526.11884,5.0,1583.46636,REFPROP::water,78.41892
