Label,Component,ED [kW]
all_real,comp,50.935964
all_real,cond,69.784059
all_real,ihx,14.957945
all_real,val,12.015001
all_real,eva,27.409037
all_real,tot,175.102006
all_ideal,comp,0.0
all_ideal,cond,0.0
all_ideal,ihx,-0.0
all_ideal,val,0.0
all_ideal,eva,0.0
all_ideal,tot,0.0
comp,comp,45.34779
comp,cond,0.0
comp,ihx,-0.0
comp,val,-0.0
comp,eva,0.0
comp,tot,45.34779
cond,comp,-0.0
cond,cond,69.784059
cond,ihx,0.0
cond,val,0.0
cond,eva,0.0
cond,tot,69.784059
ihx,comp,0.0
ihx,cond,0.0
ihx,ihx,11.82281
ihx,val,0.0
ihx,eva,0.0
ihx,tot,11.82281
val,comp,0.0
val,cond,0.0
val,ihx,-0.0
val,val,8.381337
val,eva,0.0
val,tot,8.381337
eva,comp,0.0
eva,cond,0.0
eva,ihx,0.0
eva,val,-0.0
eva,eva,30.391094
eva,tot,30.391094
comp_cond,comp,46.616273
comp_cond,cond,69.784059
comp_cond,ihx,0.0
comp_cond,val,-0.0
comp_cond,eva,0.0
comp_cond,tot,116.400332
comp_ihx,comp,46.056789
comp_ihx,cond,0.0
comp_ihx,ihx,11.424082
comp_ihx,val,0.0
comp_ihx,eva,0.0
comp_ihx,tot,57.480871
comp_val,comp,45.34779
comp_val,cond,0.0
comp_val,ihx,-0.0
comp_val,val,7.945822
comp_val,eva,0.0
comp_val,tot,53.293613
comp_eva,comp,49.215776
comp_eva,cond,0.0
comp_eva,ihx,-0.0
comp_eva,val,0.0
comp_eva,eva,29.296631
comp_eva,tot,78.512406
cond_ihx,comp,-0.0
cond_ihx,cond,69.784059
cond_ihx,ihx,14.600748
cond_ihx,val,-0.0
cond_ihx,eva,0.0
cond_ihx,tot,84.384807
cond_val,comp,-0.0
cond_val,cond,69.784059
cond_val,ihx,0.0
cond_val,val,9.605264
cond_val,eva,0.0
cond_val,tot,79.389323
cond_eva,comp,0.0
cond_eva,cond,69.784059
cond_eva,ihx,-0.0
cond_eva,val,-0.0
cond_eva,eva,28.919283
cond_eva,tot,98.703342
ihx_val,comp,0.0
ihx_val,cond,0.0
ihx_val,ihx,11.82281
ihx_val,val,10.958926
ihx_val,eva,0.0
ihx_val,tot,22.781735
ihx_eva,comp,-0.0
ihx_eva,cond,0.0
ihx_eva,ihx,14.149419
ihx_eva,val,0.0
ihx_eva,eva,30.268928
ihx_eva,tot,44.418348
val_eva,comp,0.0
val_eva,cond,0.0
val_eva,ihx,0.0
val_eva,val,8.723708
val_eva,eva,30.237046
val_eva,tot,38.960755
comp_unavoid,comp,25.891573
comp_unavoid,cond,68.74236
comp_unavoid,ihx,15.270614
comp_unavoid,val,12.350762
comp_unavoid,eva,27.981438
comp_unavoid,tot,150.236747
cond_unavoid,comp,50.028235
cond_unavoid,cond,57.556919
cond_unavoid,ihx,13.84629
cond_unavoid,val,11.167088
cond_unavoid,eva,27.699221
cond_unavoid,tot,160.297753
ihx_unavoid,comp,50.208219
ihx_unavoid,cond,70.558146
ihx_unavoid,ihx,12.476411
ihx_unavoid,val,10.506147
ihx_unavoid,eva,27.404565
ihx_unavoid,tot,171.153488
val_unavoid,comp,50.935964
val_unavoid,cond,69.784059
val_unavoid,ihx,14.957945
val_unavoid,val,12.015001
val_unavoid,eva,27.409037
val_unavoid,tot,175.102006
eva_unavoid,comp,49.167638
eva_unavoid,cond,68.835771
eva_unavoid,ihx,13.587552
eva_unavoid,val,11.636971
eva_unavoid,eva,11.022943
eva_unavoid,tot,154.250875
