,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.89149,137.47694,523.50568,10.53389,1926.34476,REFPROP::R245fa,61.40569
12,6.89149,60.0,280.05675,10.0072,1262.11494,REFPROP::R245fa,6.03342
13,6.89149,26.75691,234.79547,9.85709,1119.11117,REFPROP::R245fa,1.26367
14,6.89149,5.0,234.79547,0.66576,1125.26852,REFPROP::R245fa,-0.47979
15,6.89149,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,6.89149,55.0,452.8511,0.62298,1900.2415,REFPROP::R245fa,-1.85775
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.89149,91.23457,470.0158,10.35532,1788.986,REFPROP::R245fa,46.80893
19,6.89149,90.50552,324.82949,10.17977,1390.58308,REFPROP::R245fa,14.43042
28,10.0,62.37379,261.18416,1.013,860.96691,REFPROP::water,18.05996
29,10.0,86.23543,361.23918,1.013,1149.03973,REFPROP::water,36.54716
