,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.97068,135.9557,521.67901,10.58955,1921.6018,REFPROP::R245fa,60.92198
12,6.97068,60.66524,280.99578,10.06008,1264.91797,REFPROP::R245fa,6.17878
13,6.97068,26.32079,234.22689,10.06008,1117.16326,REFPROP::R245fa,1.24663
14,6.97068,10.0,232.96655,0.82417,1117.16326,REFPROP::R245fa,-0.0137
15,6.97068,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,6.97068,60.66524,457.75098,0.82417,1897.98366,REFPROP::R245fa,3.68143
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.97068,91.45992,470.15384,10.41004,1789.10725,REFPROP::R245fa,46.91265
19,6.97068,90.72991,325.17333,10.23356,1391.51522,REFPROP::R245fa,14.51032
28,10.0,62.35938,261.12382,1.013,860.78709,REFPROP::water,18.05054
29,10.0,86.46056,362.18513,1.013,1151.67105,REFPROP::water,36.74806
