,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.03548,133.36739,518.52542,10.71372,1913.23865,REFPROP::R245fa,60.13642
12,7.03548,60.0,280.05884,10.17803,1262.07986,REFPROP::R245fa,6.04545
13,7.03548,26.75476,234.79756,10.02536,1119.07616,REFPROP::R245fa,1.27567
14,7.03548,5.0,234.79756,0.66576,1125.27604,REFPROP::R245fa,-0.47983
15,7.03548,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,7.03548,55.0,452.8511,0.62298,1900.2415,REFPROP::R245fa,-1.85775
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.03548,91.95941,470.45895,10.5321,1789.37488,REFPROP::R245fa,47.14197
19,7.03548,91.22729,325.93631,10.35355,1393.58143,REFPROP::R245fa,14.68826
28,10.0,62.71346,262.60605,1.013,865.2026,REFPROP::water,18.28252
29,10.0,86.96017,364.28463,1.013,1157.50526,REFPROP::water,37.1956
