,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.26235,130.28113,514.80959,10.82086,1903.52874,REFPROP::R245fa,59.16995
12,7.26235,62.64024,283.79251,10.27982,1273.21818,REFPROP::R245fa,6.6253
13,7.26235,26.95527,235.06928,10.27982,1119.91839,REFPROP::R245fa,1.30891
14,7.26235,10.0,233.74667,0.82417,1119.91839,REFPROP::R245fa,-0.0137
15,7.26235,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,7.26235,62.64024,459.60749,0.82417,1903.52874,REFPROP::R245fa,3.96785
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.26235,92.38693,470.71911,10.63742,1789.60269,REFPROP::R245fa,47.33763
19,7.26235,91.653,326.59029,10.45709,1395.35,REFPROP::R245fa,14.84147
28,10.0,62.42782,261.4103,1.013,861.64085,REFPROP::water,18.09527
29,10.0,87.38777,366.08165,1.013,1162.49249,REFPROP::water,37.58049
