,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.80488,140.04718,526.60317,10.42746,1934.4184,REFPROP::R245fa,62.21713
12,6.80488,60.0,280.05551,9.90609,1262.13572,REFPROP::R245fa,6.0263
13,6.80488,24.64492,232.01582,9.80703,1109.82252,REFPROP::R245fa,1.11409
14,6.80488,5.0,232.01582,0.66576,1115.27516,REFPROP::R245fa,-0.42982
15,6.80488,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,6.80488,58.0,455.62952,0.62614,1908.36058,REFPROP::R245fa,-1.37826
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.80488,90.80119,469.74962,10.25069,1788.75196,REFPROP::R245fa,46.60903
19,6.80488,90.07398,324.1689,10.07692,1388.79045,REFPROP::R245fa,14.27741
28,10.0,62.17396,260.34767,1.013,858.47309,REFPROP::water,17.9296
29,10.0,85.80093,359.41355,1.013,1143.9568,REFPROP::water,36.16077
