k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,45.06336,89.6706,40.03713,5.02623,6.38902,-0.32946,,,-0.27074,14.04239,31.02097,12.47614,1.56625,27.56098,3.45999,,26.02828
comp,cond,,,,,6.1338,-0.07424,41.29201,1.25489,,,,,,,,0.86385,
comp,ihx,,,,,6.52032,-0.46076,40.63949,0.60237,,,,,,,,0.41466,
comp,val,,,,,6.38902,-0.32946,40.03713,0.0,,,,,,,,0.0,
comp,eva,,,,,6.2019,-0.14234,43.47685,3.43972,,,,,,,,2.36786,
cond,,58.9244,82.70433,58.9244,-0.0,6.41188,-0.35232,,,0.0,47.99723,10.92718,47.99723,-0.0,10.92718,0.0,,15.0325
cond,comp,,,,,6.1338,-0.07424,58.9244,-0.0,,,,,,,,2e-05,
cond,ihx,,,,,6.5714,-0.51184,58.9244,0.0,,,,,,,,-0.0,
cond,val,,,,,6.41188,-0.35232,58.9244,0.0,,,,,,,,-0.0,
cond,eva,,,,,6.20929,-0.14973,58.9244,0.0,,,,,,,,-0.0,
ihx,,14.95546,56.96565,12.06578,2.88969,6.75091,-0.69135,,,-2.42675,11.02796,3.92751,10.05511,0.97285,2.01067,1.91683,,5.64918
ihx,comp,,,,,6.52032,-0.46076,11.6531,-0.41267,,,,,,,,-0.27374,
ihx,cond,,,,,6.5714,-0.51184,15.60328,3.53751,,,,,,,,2.34656,
ihx,val,,,,,6.75091,-0.69135,12.06578,-0.0,,,,,,,,-0.0,
ihx,eva,,,,,6.56885,-0.50929,14.25739,2.19161,,,,,,,,1.45377,
val,,11.72092,61.69906,8.06873,3.65219,6.61153,-0.55197,,,-0.3286,11.72093,-0.0,12.78859,-1.06767,-4.71986,4.71986,,-4.83551
val,comp,,,,,6.38902,-0.32946,7.67725,-0.39148,,,,,,,,-0.50592,
val,cond,,,,,6.41188,-0.35232,9.50415,1.43542,,,,,,,,1.85504,
val,ihx,,,,,6.75091,-0.69135,10.64696,2.57823,,,,,,,,3.33194,
val,eva,,,,,6.43718,-0.37762,8.42736,0.35863,,,,,,,,0.46347,
eva,,23.83438,,26.46485,-2.63047,6.43718,-0.37762,,,-0.13797,9.40904,14.42534,9.9954,-0.58635,16.46945,-2.04411,,20.75454
eva,comp,,,,,6.2019,-0.14234,25.49578,-0.96907,,,,,,,,-0.75305,
eva,cond,,,,,6.20929,-0.14973,25.22932,-1.23553,,,,,,,,-0.96012,
eva,ihx,,,,,6.56885,-0.50929,26.32576,-0.13909,,,,,,,,-0.10809,
eva,val,,,,,6.43718,-0.37762,26.31603,-0.14881,,,,,,,,-0.11564,
