,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.38902,131.23748,517.79412,9.45224,1918.24424,REFPROP::R245fa,57.98779
12,6.38902,60.0,280.04999,9.45224,1262.22905,REFPROP::R245fa,5.99436
13,6.38902,26.11389,233.93658,9.45224,1116.34531,REFPROP::R245fa,1.18793
14,6.38902,10.0,232.73495,0.82417,1116.34531,REFPROP::R245fa,-0.0137
15,6.38902,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,6.38902,60.0,457.12705,0.82417,1896.11269,REFPROP::R245fa,3.58726
21,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.38902,87.37933,467.61749,9.45224,1786.86774,REFPROP::R245fa,45.01041
19,6.38902,87.37933,320.06337,9.45224,1377.59696,REFPROP::R245fa,13.34131
28,10.0,66.10663,276.81332,1.013,907.29107,REFPROP::water,20.57244
29,10.0,87.37874,366.04372,1.013,1162.38727,REFPROP::water,37.57234
