,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.52032,127.05293,512.82396,9.60721,1905.00214,REFPROP::R245fa,56.76713
12,6.52032,60.0,280.05187,9.60721,1262.19716,REFPROP::R245fa,6.00527
13,6.52032,30.53939,239.7868,9.4631,1135.74796,REFPROP::R245fa,1.54429
14,6.52032,10.0,238.22881,0.82417,1135.74796,REFPROP::R245fa,-0.0137
15,6.52032,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,6.52032,55.0,452.48417,0.81181,1882.98999,REFPROP::R245fa,2.66008
21,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.52032,88.06005,468.0458,9.60721,1787.24734,REFPROP::R245fa,45.33124
19,6.52032,88.06005,321.09738,9.60721,1380.42471,REFPROP::R245fa,13.57465
28,10.0,66.39277,278.01168,1.013,910.82189,REFPROP::water,20.77104
29,10.0,88.05947,368.90488,1.013,1170.3158,REFPROP::water,38.18854
