,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.08513,137.35632,524.20983,9.88054,1931.5594,REFPROP::R245fa,60.63331
12,6.08513,62.0,282.87893,9.68293,1270.63929,REFPROP::R245fa,6.44194
13,6.08513,27.49761,235.76305,9.53769,1122.41313,REFPROP::R245fa,1.2963
14,6.08513,5.0,235.76305,0.66576,1128.74716,REFPROP::R245fa,-0.49718
15,6.08513,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,6.08513,57.0,454.7057,0.62298,1905.87602,REFPROP::R245fa,-1.59857
21,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.08513,88.95658,468.60682,9.81423,1787.74383,REFPROP::R245fa,45.75167
19,6.08513,88.67288,322.03006,9.74836,1382.97036,REFPROP::R245fa,13.78652
28,10.0,65.69097,275.07265,1.013,902.15708,REFPROP::water,20.28545
29,10.0,86.95587,364.26653,1.013,1157.45498,REFPROP::water,37.19173
