,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,5.33393,143.12435,531.46624,9.33577,1952.25153,REFPROP::R245fa,62.03074
12,5.33393,65.0,287.1405,9.33577,1283.38203,REFPROP::R245fa,7.0954
13,5.33393,23.68447,230.74163,9.33577,1105.65488,REFPROP::R245fa,1.01998
14,5.33393,5.0,229.33994,0.66576,1105.65488,REFPROP::R245fa,-0.38172
15,5.33393,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,5.33393,65.0,462.1729,0.63247,1927.29934,REFPROP::R245fa,-0.19738
21,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,5.33393,86.86225,467.2908,9.33577,1786.57795,REFPROP::R245fa,44.76578
19,5.33393,86.86225,319.27928,9.33577,1375.44883,REFPROP::R245fa,13.16547
28,10.0,69.09287,289.32181,1.013,944.00003,REFPROP::water,22.68679
29,10.0,86.86174,363.87095,1.013,1156.35634,REFPROP::water,37.10724
