,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,5.69349,140.4667,526.56925,10.83538,1932.2436,REFPROP::R245fa,62.799
12,5.69349,77.59332,305.4001,10.29361,1336.16288,REFPROP::R245fa,10.4101
13,5.69349,37.08173,248.54081,10.1392,1164.09955,REFPROP::R245fa,2.27055
14,5.69349,10.0,246.25656,0.82417,1164.09955,REFPROP::R245fa,-0.0137
15,5.69349,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,5.69349,72.59332,469.07839,0.81181,1932.2436,REFPROP::R245fa,5.30814
21,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,5.69349,92.44461,470.75414,10.65169,1789.63333,REFPROP::R245fa,47.36398
19,5.69349,91.71042,326.67858,10.47112,1395.58858,REFPROP::R245fa,14.8622
28,10.0,67.89271,284.29409,1.013,929.28371,REFPROP::water,21.82599
29,10.0,87.44529,366.3234,1.013,1163.16296,REFPROP::water,37.63239
