,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,5.54018,134.86248,521.75764,9.57399,1927.29934,REFPROP::R245fa,59.38736
12,5.54018,65.0,287.14242,9.57399,1283.33011,REFPROP::R245fa,7.11202
13,5.54018,23.68073,230.74394,9.57399,1105.60296,REFPROP::R245fa,1.03698
14,5.54018,5.0,229.32549,0.66576,1105.60296,REFPROP::R245fa,-0.38146
15,5.54018,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,5.54018,65.0,462.1729,0.63247,1927.29934,REFPROP::R245fa,-0.19738
21,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,5.54018,87.9148,467.95458,9.57399,1787.16652,REFPROP::R245fa,45.2629
19,5.54018,87.9148,320.87657,9.57399,1379.82135,REFPROP::R245fa,13.52468
28,10.0,69.46204,290.86853,1.013,948.51695,REFPROP::water,22.95454
29,10.0,87.9141,368.29384,1.013,1168.62381,REFPROP::water,38.05659
