,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,4.7648,134.55057,521.05443,9.84042,1924.06949,REFPROP::R245fa,59.59867
12,4.7648,70.0,294.32138,9.84042,1304.34013,REFPROP::R245fa,8.342
13,4.7648,29.35291,238.22446,9.84042,1130.49959,REFPROP::R245fa,1.46802
14,4.7648,10.0,236.74273,0.82417,1130.49959,REFPROP::R245fa,-0.0137
15,4.7648,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,4.7648,70.0,466.58034,0.82417,1924.06949,REFPROP::R245fa,5.12459
21,10.0,70.0,293.12252,1.013,955.09063,REFPROP::water,23.34719
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,4.7648,89.06898,468.6769,9.84042,1787.80579,REFPROP::R245fa,45.80421
19,4.7648,89.06898,322.63382,9.84042,1384.61576,REFPROP::R245fa,13.92439
28,10.0,73.21885,306.61284,1.013,994.22056,REFPROP::water,25.75787
29,10.0,89.06805,373.14483,1.013,1182.03764,REFPROP::water,39.10945
