,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,4.86627,130.3117,516.05731,9.95431,1911.12117,REFPROP::R245fa,58.26788
12,4.86627,70.0,294.32178,9.95431,1304.31377,REFPROP::R245fa,8.34985
13,4.86627,34.21052,244.68511,9.805,1151.69577,REFPROP::R245fa,1.92698
14,4.86627,10.0,242.74443,0.82417,1151.69577,REFPROP::R245fa,-0.0137
15,4.86627,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,4.86627,65.0,461.85577,0.81181,1911.12117,REFPROP::R245fa,4.06634
21,10.0,70.0,293.12252,1.013,955.09063,REFPROP::water,23.34719
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,4.86627,89.5552,468.9794,9.95431,1788.07304,REFPROP::R245fa,46.03105
19,4.86627,89.5552,323.37591,9.95431,1386.63547,REFPROP::R245fa,14.0946
28,10.0,73.37347,307.26105,1.013,996.09158,REFPROP::water,25.8763
29,10.0,89.55502,375.19231,1.013,1187.68647,REFPROP::water,39.55747
