,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.61355,157.76657,546.32462,11.12103,1977.60302,REFPROP::R245fa,69.71085
12,3.61355,83.25068,313.80771,10.56498,1359.87638,REFPROP::R245fa,12.10324
13,3.61355,29.68617,238.68636,10.56498,1131.84556,REFPROP::R245fa,1.54882
14,3.61355,5.0,236.62487,0.66576,1131.84556,REFPROP::R245fa,-0.51267
15,3.61355,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,3.61355,83.25068,479.64049,0.63247,1977.60302,REFPROP::R245fa,3.02672
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.61355,93.56798,471.43302,10.9325,1790.22574,REFPROP::R245fa,47.87513
19,3.61355,92.82903,328.40147,10.74717,1400.23624,REFPROP::R245fa,15.2691
28,10.0,76.25751,319.35406,1.013,1030.84524,REFPROP::water,28.12881
29,10.0,88.56721,371.03923,1.013,1176.22057,REFPROP::water,38.65096
