,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.57877,155.61837,543.73435,11.19759,1971.1972,REFPROP::R245fa,68.93438
12,3.57877,80.0,308.9578,10.63771,1346.18844,REFPROP::R245fa,11.12907
13,3.57877,36.52572,247.80288,10.47814,1161.63522,REFPROP::R245fa,2.23039
14,3.57877,8.0,247.80288,0.75755,1170.49127,REFPROP::R245fa,-0.2772
15,3.57877,7.52566,410.36228,0.7424,1749.89491,REFPROP::R245fa,-1.77594
16,3.57877,75.0,471.5172,0.73127,1945.65484,REFPROP::R245fa,3.94955
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.57877,93.86537,471.61166,11.00776,1790.38112,REFPROP::R245fa,48.00977
19,3.57877,93.12517,328.85859,10.82115,1401.46678,REFPROP::R245fa,15.3778
28,10.0,76.69824,321.20257,1.013,1036.13232,REFPROP::water,28.48028
29,10.0,88.86487,372.29063,1.013,1179.67874,REFPROP::water,38.92318
