,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.80428,141.43336,528.77394,9.9639,1942.16046,REFPROP::R245fa,62.19573
12,3.80428,75.0,301.59166,9.9639,1325.34399,REFPROP::R245fa,9.66503
13,3.80428,32.39334,242.26126,9.81445,1143.78401,REFPROP::R245fa,1.74334
14,3.80428,5.0,239.94555,0.66576,1143.78401,REFPROP::R245fa,-0.57237
15,3.80428,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,3.80428,70.0,466.92023,0.62298,1942.16046,REFPROP::R245fa,0.34202
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.80428,89.59597,469.00472,9.9639,1788.09539,REFPROP::R245fa,46.05003
19,3.80428,89.59597,323.43817,9.9639,1386.80479,REFPROP::R245fa,14.10892
28,10.0,76.98171,322.39155,1.013,1039.52953,REFPROP::water,28.70735
29,10.0,89.5958,375.3638,1.013,1188.15926,REFPROP::water,39.59509
