,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.22065,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,7.22065,10.64463,214.7045,18.38438,1048.47213,REFPROP::R134a,31.78888
33,7.22065,30.71934,242.73966,18.38438,1143.89318,REFPROP::R134a,32.80557
34,7.22065,95.0,466.90743,18.38438,1811.97601,REFPROP::R134a,67.80568
35,7.22065,42.47681,434.48802,4.14607,1822.9938,REFPROP::R134a,32.26658
36,7.22065,11.64463,405.86906,4.14607,1727.57275,REFPROP::R134a,30.66609
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
38,7.22065,63.80541,293.76661,18.38438,1303.06034,REFPROP::R134a,38.76434
39,7.22065,63.80541,427.56298,18.38438,1700.13473,REFPROP::R134a,60.12909
48,10.0,88.24683,369.69245,1.013,1172.49561,REFPROP::water,38.3589
49,10.0,63.80455,267.17382,1.013,878.78063,REFPROP::water,19.00566
