,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.62303,12.0,216.32883,4.43014,1058.07626,REFPROP::R134a,30.6938
32,6.62303,12.81161,217.66999,18.75054,1058.77994,REFPROP::R134a,31.83571
33,6.62303,29.22905,240.60533,18.46928,1136.82862,REFPROP::R134a,32.67157
34,6.62303,90.0,462.33614,17.54582,1802.52897,REFPROP::R134a,65.90932
35,6.62303,42.4135,433.6506,4.58939,1812.68403,REFPROP::R134a,34.34838
36,6.62303,17.81161,410.71526,4.52055,1738.1284,REFPROP::R134a,32.52346
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
38,6.62303,63.26674,292.8718,18.15618,1300.46819,REFPROP::R134a,38.60349
39,6.62303,62.53201,427.27073,17.84839,1700.93619,REFPROP::R134a,59.60991
48,10.0,89.48021,374.87776,1.013,1186.81916,REFPROP::water,39.4885
49,10.0,68.2677,285.86492,1.013,933.88713,REFPROP::water,22.09336
