,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.18327,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,6.18327,10.79767,214.97588,21.81917,1048.47213,REFPROP::R134a,32.06026
33,6.18327,23.94325,233.13347,21.49188,1111.06612,REFPROP::R134a,32.49436
34,6.18327,95.0,462.08921,21.49188,1788.91061,REFPROP::R134a,69.51843
35,6.18327,35.52225,427.91677,4.20921,1800.80205,REFPROP::R134a,31.97893
36,6.18327,15.79767,409.75919,4.14607,1741.13369,REFPROP::R134a,30.71645
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
38,6.18327,70.6791,305.46296,21.49188,1336.51834,REFPROP::R134a,40.98705
39,6.18327,70.6791,428.73025,21.49188,1695.03161,REFPROP::R134a,62.74131
48,10.0,90.09785,377.47494,1.013,1193.97511,REFPROP::water,40.05947
49,10.0,70.68002,295.97197,1.013,963.38621,REFPROP::water,23.84774
