,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.17001,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,6.17001,10.95942,215.19058,21.52478,1049.3099,REFPROP::R134a,32.03774
33,6.17001,23.58566,232.63178,21.52478,1109.36736,REFPROP::R134a,32.47367
34,6.17001,95.0,462.0354,21.52478,1788.66941,REFPROP::R134a,69.53292
35,6.17001,31.00153,423.8523,4.14607,1788.66941,REFPROP::R134a,31.34982
36,6.17001,11.95942,406.16517,4.14607,1728.61194,REFPROP::R134a,30.66796
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
38,6.17001,70.74769,305.58254,21.52478,1336.85647,REFPROP::R134a,41.01089
39,6.17001,70.74769,428.73794,21.52478,1694.97284,REFPROP::R134a,62.76564
48,10.0,90.11739,377.55714,1.013,1194.20141,REFPROP::water,40.0776
49,10.0,70.74859,296.25933,1.013,964.22191,REFPROP::water,23.89848
