,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.07418,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,6.07418,10.99027,215.24298,22.09019,1049.33711,REFPROP::R134a,32.08244
33,6.07418,20.97087,228.97814,21.75884,1096.93544,REFPROP::R134a,32.34013
34,6.07418,95.0,461.65063,21.75884,1786.95395,REFPROP::R134a,69.63388
35,6.07418,30.94531,423.67402,4.20921,1786.95395,REFPROP::R134a,31.65726
36,6.07418,15.99027,409.93886,4.14607,1741.75529,REFPROP::R134a,30.72011
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,60.0,251.24867,1.013,831.24981,REFPROP::water,16.53887
38,6.07418,71.23336,306.43113,21.75884,1339.2536,REFPROP::R134a,41.18074
39,6.07418,71.23336,428.78984,21.75884,1694.55156,REFPROP::R134a,62.93683
48,10.0,90.25634,378.14145,1.013,1195.80959,REFPROP::water,40.20655
49,10.0,71.23436,298.29502,1.013,970.13717,REFPROP::water,24.25926
