,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,5.53382,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,5.53382,10.952,215.17801,21.39074,1049.30295,REFPROP::R134a,32.02714
33,5.53382,21.91307,230.28889,21.39074,1101.48651,REFPROP::R134a,32.36224
34,5.53382,90.0,457.83967,20.3212,1780.77103,REFPROP::R134a,67.57361
35,5.53382,28.41507,421.46023,4.14607,1780.77103,REFPROP::R134a,31.19417
36,5.53382,11.952,406.1582,4.14607,1728.58747,REFPROP::R134a,30.66792
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
38,5.53382,69.70354,303.76872,21.02811,1331.71953,REFPROP::R134a,40.65159
39,5.53382,68.94244,428.50736,20.67164,1696.46218,REFPROP::R134a,62.11336
48,10.0,91.14278,381.86973,1.013,1206.05633,REFPROP::water,41.03346
49,10.0,74.70454,312.84162,1.013,1012.16518,REFPROP::water,26.90563
