k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,1.24778,85.31118,1.3305,-0.08271,4.34266,0.44825,,,-0.0252,0.37319,0.87459,0.39793,-0.02474,0.93257,-0.05798,,0.89225
pump,eva,,,,,4.59294,0.19797,1.2313,-0.0992,,,,,,,,-0.06953,
pump,ihx,,,,,4.26912,0.52179,1.33959,0.00909,,,,,,,,0.00637,
pump,exp,,,,,4.4284,0.36251,1.34685,0.01635,,,,,,,,0.01146,
pump,cond,,,,,4.55688,0.23403,1.34675,0.01625,,,,,,,,0.01139,
eva,,43.14193,79.81014,47.75453,-4.61261,4.59119,0.19972,,,0.11857,35.40932,7.7326,34.45161,0.95771,13.30293,-5.57032,,7.58941
eva,pump,,,,,4.59294,0.19797,47.70812,-0.04642,,,,,,,,-0.05605,
eva,ihx,,,,,4.52455,0.26636,49.60364,1.84911,,,,,,,,2.23304,
eva,exp,,,,,4.66584,0.12507,45.87375,-1.88078,,,,,,,,-2.27129,
eva,cond,,,,,4.79295,-0.00204,43.10143,-4.6531,,,,,,,,-5.61922,
ihx,,3.07454,41.74726,1.68329,1.39126,4.26698,0.52393,,,0.16133,1.59298,1.48157,-0.04316,1.63614,1.72645,-0.24488,,1.50996
ihx,pump,,,,,4.26912,0.52179,1.66631,-0.01698,,,,,,,,0.00299,
ihx,eva,,,,,4.52455,0.26636,2.13586,0.45258,,,,,,,,-0.07966,
ihx,exp,,,,,4.35125,0.43966,2.12876,0.44548,,,,,,,,-0.07841,
ihx,cond,,,,,4.47329,0.31762,2.03213,0.34885,,,,,,,,-0.0614,
exp,,14.29093,90.69183,16.47211,-2.18119,4.42618,0.36473,,,-0.22933,6.79282,7.4981,7.8296,-1.03677,8.64251,-1.14441,,7.61843
exp,pump,,,,,4.4284,0.36251,16.47995,0.00784,,,,,,,,0.00411,
exp,eva,,,,,4.66584,0.12507,16.21485,-0.25726,,,,,,,,-0.13498,
exp,ihx,,,,,4.35125,0.43966,16.07271,-0.3994,,,,,,,,-0.20956,
exp,cond,,,,,4.63758,0.15333,15.16908,-1.30303,,,,,,,,-0.68367,
cond,,21.1807,,19.57746,1.60323,4.55475,0.23616,,,0.01507,8.80189,12.37881,8.36801,0.43387,11.20945,1.16936,,12.36782
cond,pump,,,,,4.55688,0.23403,19.61069,0.03322,,,,,,,,0.02423,
cond,eva,,,,,4.79295,-0.00204,20.58597,1.0085,,,,,,,,0.73558,
cond,ihx,,,,,4.47329,0.31762,19.76876,0.1913,,,,,,,,0.13953,
cond,exp,,,,,4.63758,0.15333,19.9326,0.35513,,,,,,,,0.25903,
