,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,2.70805,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,2.70805,11.09804,215.51271,28.62162,1048.47213,REFPROP::R134a,32.59709
33,2.70805,8.55427,212.06081,28.1923,1036.39277,REFPROP::R134a,32.56546
34,2.70805,90.0,444.87212,26.78268,1728.9936,REFPROP::R134a,69.26685
35,2.70805,12.58783,406.58746,4.20921,1728.9936,REFPROP::R134a,30.98218
36,2.70805,16.09804,410.03936,4.14607,1742.10282,REFPROP::R134a,30.72221
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,80.0,335.05524,1.013,1075.54287,REFPROP::water,31.17386
38,2.70805,82.4143,327.05382,27.71437,1396.37492,REFPROP::R134a,45.62952
39,2.70805,81.60466,428.582,27.24454,1682.71765,REFPROP::R134a,66.07976
48,10.0,93.95206,393.69025,1.013,1238.37971,REFPROP::water,43.70161
49,10.0,87.41496,366.19592,1.013,1162.8094,REFPROP::water,37.60502
