,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.86181,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.86181,15.81677,227.82519,21.94915,1091.73495,REFPROP::R152a,45.91188
33,4.86181,27.45812,248.40098,21.94915,1161.53618,REFPROP::R152a,46.72345
34,4.86181,105.0,594.41623,20.85169,2170.26314,REFPROP::R152a,107.11766
35,4.86181,34.40517,539.08891,4.61666,2170.26314,REFPROP::R152a,51.79034
36,4.86181,16.81677,518.24215,4.61666,2100.46192,REFPROP::R152a,50.7078
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.86181,76.14427,344.50269,21.57706,1457.12712,REFPROP::R152a,59.12858
39,4.86181,75.35118,543.17628,21.21127,2027.35414,REFPROP::R152a,96.3424
48,10.0,104.1016,436.7628,5.0,1353.00071,REFPROP::water,54.31923
49,10.0,81.14358,340.17142,5.0,1088.84652,REFPROP::water,32.52311
