,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.33566,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,4.33566,10.98292,219.58069,26.1663,1061.3876,REFPROP::R152a,46.26023
33,4.33566,12.78403,222.67458,25.77381,1072.38886,REFPROP::R152a,46.23911
34,4.33566,110.0,591.3606,25.77381,2141.82683,REFPROP::R152a,112.11377
35,4.33566,18.85886,523.75462,3.78441,2141.82683,REFPROP::R152a,44.5078
36,4.33566,15.98292,520.66074,3.72764,2132.90502,REFPROP::R152a,43.94012
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.33566,84.5838,363.75593,25.77381,1509.94342,REFPROP::R152a,63.42689
39,4.33566,84.5838,543.18254,25.77381,2011.508,REFPROP::R152a,100.83549
48,10.0,105.05498,440.78631,5.0,1363.6526,REFPROP::water,55.32666
49,10.0,84.58447,354.61669,5.0,1129.42183,REFPROP::water,35.47948
