Label,Component,ED [kW]
all_real,pump,2.097343
all_real,eva,96.298054
all_real,ihx,9.042757
all_real,exp,31.294109
all_real,cond,41.495102
all_real,tot,180.227365
all_ideal,pump,-0.0
all_ideal,eva,-0.0
all_ideal,ihx,0.0
all_ideal,exp,0.0
all_ideal,cond,0.045477
all_ideal,tot,0.045477
pump,pump,2.359222
pump,eva,0.0
pump,ihx,-0.0
pump,exp,0.0
pump,cond,0.057472
pump,tot,2.416694
eva,pump,0.0
eva,eva,102.011352
eva,ihx,-0.0
eva,exp,0.0
eva,cond,0.041997
eva,tot,102.053349
ihx,pump,0.0
ihx,eva,0.0
ihx,ihx,4.120395
ihx,exp,0.0
ihx,cond,0.394397
ihx,tot,4.514793
exp,pump,-0.0
exp,eva,-0.0
exp,ihx,0.0
exp,exp,35.886088
exp,cond,0.045398
exp,tot,35.931486
cond,pump,0.0
cond,eva,0.0
cond,ihx,-0.0
cond,exp,0.0
cond,cond,38.004291
cond,tot,38.004291
pump_eva,pump,2.167158
pump_eva,eva,101.944242
pump_eva,ihx,-0.0
pump_eva,exp,0.0
pump_eva,cond,0.052203
pump_eva,tot,104.163602
pump_ihx,pump,2.400898
pump_ihx,eva,0.0
pump_ihx,ihx,4.0825
pump_ihx,exp,0.0
pump_ihx,cond,0.428963
pump_ihx,tot,6.912362
pump_exp,pump,2.354694
pump_exp,eva,-0.0
pump_exp,ihx,-0.0
pump_exp,exp,35.899519
pump_exp,cond,0.057216
pump_exp,tot,38.31143
pump_cond,pump,2.311595
pump_cond,eva,0.0
pump_cond,ihx,0.0
pump_cond,exp,0.0
pump_cond,cond,38.061221
pump_cond,tot,40.372816
eva_ihx,pump,0.0
eva_ihx,eva,104.057166
eva_ihx,ihx,5.372764
eva_ihx,exp,0.0
eva_ihx,cond,0.401237
eva_ihx,tot,109.831167
eva_exp,pump,-0.0
eva_exp,eva,99.147756
eva_exp,ihx,-0.0
eva_exp,exp,35.297369
eva_exp,cond,0.041632
eva_exp,tot,134.486757
eva_cond,pump,0.0
eva_cond,eva,96.777726
eva_cond,ihx,-0.0
eva_cond,exp,0.0
eva_cond,cond,40.270929
eva_cond,tot,137.048654
ihx_exp,pump,0.0
ihx_exp,eva,-0.0
ihx_exp,ihx,5.603374
ihx_exp,exp,35.285356
ihx_exp,cond,0.400205
ihx_exp,tot,41.288935
ihx_cond,pump,-0.0
ihx_cond,eva,-0.0
ihx_cond,ihx,5.461035
ihx_cond,exp,-0.0
ihx_cond,cond,38.352239
ihx_cond,tot,43.813274
exp_cond,pump,0.0
exp_cond,eva,-0.0
exp_cond,ihx,-0.0
exp_cond,exp,33.041393
exp_cond,cond,38.778318
exp_cond,tot,71.819711
pump_unavoid,pump,0.625803
pump_unavoid,eva,96.312429
pump_unavoid,ihx,9.079697
pump_unavoid,exp,31.293072
pump_unavoid,cond,41.4466
pump_unavoid,tot,178.757601
eva_unavoid,pump,2.346897
eva_unavoid,eva,79.222916
eva_unavoid,ihx,7.790783
eva_unavoid,exp,33.499658
eva_unavoid,cond,41.135842
eva_unavoid,tot,163.996095
ihx_unavoid,pump,2.065587
ihx_unavoid,eva,95.822773
ihx_unavoid,ihx,7.153281
ihx_unavoid,exp,31.452855
ihx_unavoid,cond,41.225679
ihx_unavoid,tot,177.720174
exp_unavoid,pump,2.112493
exp_unavoid,eva,96.926166
exp_unavoid,ihx,8.04361
exp_unavoid,exp,15.686562
exp_unavoid,cond,41.12072
exp_unavoid,tot,163.889552
cond_unavoid,pump,2.186805
cond_unavoid,eva,98.418688
cond_unavoid,ihx,7.861171
cond_unavoid,exp,34.143769
cond_unavoid,cond,16.731166
cond_unavoid,tot,159.341598
