,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,5.42545,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,5.42545,11.03624,219.7124,27.40489,1061.3876,REFPROP::R152a,46.39195
33,5.42545,19.824,234.97796,27.40489,1114.28792,REFPROP::R152a,46.67878
34,5.42545,120.0,604.5443,27.40489,2170.01905,REFPROP::R152a,117.31485
35,5.42545,25.49729,531.56719,3.72764,2170.01905,REFPROP::R152a,44.33774
36,5.42545,12.03624,516.12763,3.72764,2117.11873,REFPROP::R152a,43.87691
41,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,5.42545,87.58014,370.92158,27.40489,1529.23959,REFPROP::R152a,65.12883
39,5.42545,87.58014,542.69006,27.40489,2005.40851,REFPROP::R152a,102.07008
48,10.0,112.07855,470.46477,5.0,1441.40447,REFPROP::water,62.98968
49,10.0,87.58091,367.2041,5.0,1164.46173,REFPROP::water,38.14534
