,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,5.67374,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,5.67374,16.01212,228.28579,26.22416,1091.73495,REFPROP::R152a,46.37248
33,5.67374,29.2613,251.70813,26.22416,1170.92521,REFPROP::R152a,47.3721
34,5.67374,120.0,606.99112,26.22416,2180.45612,REFPROP::R152a,116.80641
35,5.67374,37.07148,542.23738,4.61666,2180.45612,REFPROP::R152a,52.05267
36,5.67374,17.01212,518.47534,4.61666,2101.26586,REFPROP::R152a,50.71335
41,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,5.67374,85.4254,365.74845,26.22416,1515.32783,REFPROP::R152a,63.89482
39,5.67374,85.4254,543.07316,26.22416,2009.85342,REFPROP::R152a,101.19461
48,10.0,111.43867,467.75809,5.0,1434.37246,REFPROP::water,62.27411
49,10.0,85.42626,358.15209,5.0,1139.29295,REFPROP::water,36.21987
