,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.05843,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,6.05843,15.92262,228.03727,22.93853,1092.09976,REFPROP::R152a,46.02066
33,6.05843,34.41905,261.01266,22.59445,1202.77183,REFPROP::R152a,47.65926
34,6.05843,115.0,608.58593,21.46473,2204.34491,REFPROP::R152a,111.6371
35,6.05843,48.95837,556.10753,4.68696,2222.58686,REFPROP::R152a,53.9935
36,6.05843,20.92262,523.13214,4.61666,2117.20771,REFPROP::R152a,50.85622
41,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,6.05843,77.49587,347.50682,22.21142,1465.46557,REFPROP::R152a,59.77169
39,6.05843,76.69719,543.29675,21.83488,2025.26134,REFPROP::R152a,97.05544
48,10.0,110.66079,464.46847,5.0,1425.8102,REFPROP::water,61.4089
49,10.0,82.49661,345.85047,5.0,1104.84522,REFPROP::water,33.67213
